Generated 530000   programs,  absolute time: 0:13:17.065057,  relative time: 0:00:00.000400
Generated 540000   programs,  absolute time: 0:13:32.227754,  relative time: 0:00:15.162697
Generated 540000   programs,  absolute time: 0:13:32.228152,  relative time: 0:00:00.000398
Generated 540000   programs,  absolute time: 0:13:32.228491,  relative time: 0:00:00.000339
Generated 540000   programs,  absolute time: 0:13:32.228895,  relative time: 0:00:00.000404
Generated 550000   programs,  absolute time: 0:13:47.142005,  relative time: 0:00:14.913110
Generated 550000   programs,  absolute time: 0:13:47.142405,  relative time: 0:00:00.000400
Generated 550000   programs,  absolute time: 0:13:47.142812,  relative time: 0:00:00.000407
Generated 560000   programs,  absolute time: 0:14:02.348938,  relative time: 0:00:15.206126
Generated 560000   programs,  absolute time: 0:14:02.349349,  relative time: 0:00:00.000411
Generated 570000   programs,  absolute time: 0:14:17.738894,  relative time: 0:00:15.389545
Generated 570000   programs,  absolute time: 0:14:17.739288,  relative time: 0:00:00.000394
Generated 570000   programs,  absolute time: 0:14:17.739761,  relative time: 0:00:00.000473
Generated 570000   programs,  absolute time: 0:14:17.740174,  relative time: 0:00:00.000413
Generated 570000   programs,  absolute time: 0:14:17.740540,  relative time: 0:00:00.000366
Generated 580000   programs,  absolute time: 0:14:32.565117,  relative time: 0:00:14.824577
Generated 580000   programs,  absolute time: 0:14:32.565528,  relative time: 0:00:00.000411
Generated 590000   programs,  absolute time: 0:14:47.597921,  relative time: 0:00:15.032393
Generated 590000   programs,  absolute time: 0:14:47.598349,  relative time: 0:00:00.000428
Generated 590000   programs,  absolute time: 0:14:47.598740,  relative time: 0:00:00.000391
Generated 590000   programs,  absolute time: 0:14:47.599148,  relative time: 0:00:00.000408
Generated 600000   programs,  absolute time: 0:15:02.762583,  relative time: 0:00:15.163435
Generated 610000   programs,  absolute time: 0:15:17.597925,  relative time: 0:00:14.835342
Generated 620000   programs,  absolute time: 0:15:32.556815,  relative time: 0:00:14.958890
Generated 620000   programs,  absolute time: 0:15:32.557224,  relative time: 0:00:00.000409
Generated 620000   programs,  absolute time: 0:15:32.557660,  relative time: 0:00:00.000436
Generated 620000   programs,  absolute time: 0:15:32.558053,  relative time: 0:00:00.000393
Generated 620000   programs,  absolute time: 0:15:32.558445,  relative time: 0:00:00.000392
Generated 620000   programs,  absolute time: 0:15:32.559047,  relative time: 0:00:00.000602
Generated 620000   programs,  absolute time: 0:15:32.559427,  relative time: 0:00:00.000380
Generated 620000   programs,  absolute time: 0:15:32.559831,  relative time: 0:00:00.000404
Generated 620000   programs,  absolute time: 0:15:32.560430,  relative time: 0:00:00.000599
Generated 620000   programs,  absolute time: 0:15:32.560740,  relative time: 0:00:00.000310
Generated 630000   programs,  absolute time: 0:15:47.693147,  relative time: 0:00:15.132407
Generated 640000   programs,  absolute time: 0:16:02.609054,  relative time: 0:00:14.915907
Generated 650000   programs,  absolute time: 0:16:17.824417,  relative time: 0:00:15.215363
Generated 650000   programs,  absolute time: 0:16:17.824839,  relative time: 0:00:00.000422
Generated 650000   programs,  absolute time: 0:16:17.825156,  relative time: 0:00:00.000317
Generated 660000   programs,  absolute time: 0:16:32.791744,  relative time: 0:00:14.966588
