Generated 640000  programs,  absolute time: 0:11:19.325557,  relative time: 0:00:00.000331
Generated 640000  programs,  absolute time: 0:11:19.325940,  relative time: 0:00:00.000383
Generated 640000  programs,  absolute time: 0:11:19.326328,  relative time: 0:00:00.000388
Generated 650000  programs,  absolute time: 0:11:29.002864,  relative time: 0:00:09.676536
Generated 660000  programs,  absolute time: 0:11:38.801870,  relative time: 0:00:09.799006
Generated 660000  programs,  absolute time: 0:11:38.802351,  relative time: 0:00:00.000481
Generated 660000  programs,  absolute time: 0:11:38.802999,  relative time: 0:00:00.000648
Generated 660000  programs,  absolute time: 0:11:38.803407,  relative time: 0:00:00.000408
Generated 660000  programs,  absolute time: 0:11:38.804000,  relative time: 0:00:00.000593
Generated 670000  programs,  absolute time: 0:11:48.422189,  relative time: 0:00:09.618189
Generated 680000  programs,  absolute time: 0:11:58.052403,  relative time: 0:00:09.630214
Generated 680000  programs,  absolute time: 0:11:58.052818,  relative time: 0:00:00.000415
Generated 680000  programs,  absolute time: 0:11:58.053214,  relative time: 0:00:00.000396
Generated 680000  programs,  absolute time: 0:11:58.053618,  relative time: 0:00:00.000404
Generated 680000  programs,  absolute time: 0:11:58.054209,  relative time: 0:00:00.000591
Generated 690000  programs,  absolute time: 0:12:07.777604,  relative time: 0:00:09.723395
Generated 690000  programs,  absolute time: 0:12:07.777988,  relative time: 0:00:00.000384
Generated 690000  programs,  absolute time: 0:12:07.778384,  relative time: 0:00:00.000396
Generated 690000  programs,  absolute time: 0:12:07.778766,  relative time: 0:00:00.000382
Generated 700000  programs,  absolute time: 0:12:17.376170,  relative time: 0:00:09.597404
Generated 710000  programs,  absolute time: 0:12:27.019456,  relative time: 0:00:09.643286
Generated 720000  programs,  absolute time: 0:12:36.616765,  relative time: 0:00:09.597309
Generated 730000  programs,  absolute time: 0:12:46.260201,  relative time: 0:00:09.643436
Generated 730000  programs,  absolute time: 0:12:46.260835,  relative time: 0:00:00.000634
Generated 730000  programs,  absolute time: 0:12:46.261236,  relative time: 0:00:00.000401
Generated 730000  programs,  absolute time: 0:12:46.261561,  relative time: 0:00:00.000325
Generated 730000  programs,  absolute time: 0:12:46.261956,  relative time: 0:00:00.000395
Generated 730000  programs,  absolute time: 0:12:46.262517,  relative time: 0:00:00.000561
Generated 730000  programs,  absolute time: 0:12:46.262915,  relative time: 0:00:00.000398
Generated 740000  programs,  absolute time: 0:12:55.868390,  relative time: 0:00:09.605475
Generated 740000  programs,  absolute time: 0:12:55.868784,  relative time: 0:00:00.000394
Generated 750000  programs,  absolute time: 0:13:05.443186,  relative time: 0:00:09.574402
Generated 750000  programs,  absolute time: 0:13:05.443604,  relative time: 0:00:00.000418
Generated 750000  programs,  absolute time: 0:13:05.444017,  relative time: 0:00:00.000413
Generated 760000  programs,  absolute time: 0:13:15.138837,  relative time: 0:00:09.694820
