Generated 420000  programs,  absolute time: 0:13:18.004511,  relative time: 0:00:00.000504
Generated 430000  programs,  absolute time: 0:13:36.433646,  relative time: 0:00:18.429135
Generated 430000  programs,  absolute time: 0:13:36.434132,  relative time: 0:00:00.000486
Generated 440000  programs,  absolute time: 0:13:54.785094,  relative time: 0:00:18.350962
Generated 450000  programs,  absolute time: 0:14:12.905421,  relative time: 0:00:18.120327
Generated 460000  programs,  absolute time: 0:14:31.457598,  relative time: 0:00:18.552177
Generated 470000  programs,  absolute time: 0:14:50.097069,  relative time: 0:00:18.639471
Generated 470000  programs,  absolute time: 0:14:50.097573,  relative time: 0:00:00.000504
Generated 470000  programs,  absolute time: 0:14:50.098030,  relative time: 0:00:00.000457
Generated 470000  programs,  absolute time: 0:14:50.098472,  relative time: 0:00:00.000442
Generated 480000  programs,  absolute time: 0:15:08.539973,  relative time: 0:00:18.441501
Generated 490000  programs,  absolute time: 0:15:26.927741,  relative time: 0:00:18.387768
Generated 500000  programs,  absolute time: 0:15:45.486050,  relative time: 0:00:18.558309
Generated 500000  programs,  absolute time: 0:15:45.486551,  relative time: 0:00:00.000501
Generated 510000  programs,  absolute time: 0:16:04.060114,  relative time: 0:00:18.573563
Generated 510000  programs,  absolute time: 0:16:04.060585,  relative time: 0:00:00.000471
Generated 520000  programs,  absolute time: 0:16:22.242320,  relative time: 0:00:18.181735
Generated 520000  programs,  absolute time: 0:16:22.242855,  relative time: 0:00:00.000535
Generated 520000  programs,  absolute time: 0:16:22.243329,  relative time: 0:00:00.000474
Generated 520000  programs,  absolute time: 0:16:22.243843,  relative time: 0:00:00.000514
Generated 520000  programs,  absolute time: 0:16:22.244270,  relative time: 0:00:00.000427
Generated 520000  programs,  absolute time: 0:16:22.244706,  relative time: 0:00:00.000436
Generated 530000  programs,  absolute time: 0:16:40.480037,  relative time: 0:00:18.235331
Generated 530000  programs,  absolute time: 0:16:40.480578,  relative time: 0:00:00.000541
Generated 530000  programs,  absolute time: 0:16:40.481046,  relative time: 0:00:00.000468
Generated 530000  programs,  absolute time: 0:16:40.481502,  relative time: 0:00:00.000456
Generated 530000  programs,  absolute time: 0:16:40.481939,  relative time: 0:00:00.000437
Generated 530000  programs,  absolute time: 0:16:40.482421,  relative time: 0:00:00.000482
Generated 540000  programs,  absolute time: 0:16:58.630381,  relative time: 0:00:18.147960
Generated 540000  programs,  absolute time: 0:16:58.630941,  relative time: 0:00:00.000560
Generated 540000  programs,  absolute time: 0:16:58.631406,  relative time: 0:00:00.000465
Generated 550000  programs,  absolute time: 0:17:16.702996,  relative time: 0:00:18.071590
Generated 560000  programs,  absolute time: 0:17:34.465151,  relative time: 0:00:17.762155
Generated 560000  programs,  absolute time: 0:17:34.465647,  relative time: 0:00:00.000496
Generated 560000  programs,  absolute time: 0:17:34.466057,  relative time: 0:00:00.000410
Generated 570000  programs,  absolute time: 0:17:53.010614,  relative time: 0:00:18.544557
Generated 580000  programs,  absolute time: 0:18:11.181706,  relative time: 0:00:18.171092
Generated 580000  programs,  absolute time: 0:18:11.182195,  relative time: 0:00:00.000489
Generated 580000  programs,  absolute time: 0:18:11.182695,  relative time: 0:00:00.000500
Generated 590000  programs,  absolute time: 0:18:29.431610,  relative time: 0:00:18.248915
Generated 600000  programs,  absolute time: 0:18:47.562294,  relative time: 0:00:18.130684
Generated 600000  programs,  absolute time: 0:18:47.562768,  relative time: 0:00:00.000474
Generated 610000  programs,  absolute time: 0:19:05.704744,  relative time: 0:00:18.141976
Generated 610000  programs,  absolute time: 0:19:05.705204,  relative time: 0:00:00.000460
Generated 620000  programs,  absolute time: 0:19:24.532393,  relative time: 0:00:18.827189
Generated 620000  programs,  absolute time: 0:19:24.532779,  relative time: 0:00:00.000386
Generated 620000  programs,  absolute time: 0:19:24.533216,  relative time: 0:00:00.000437
Generated 620000  programs,  absolute time: 0:19:24.533685,  relative time: 0:00:00.000469
Generated 620000  programs,  absolute time: 0:19:24.534155,  relative time: 0:00:00.000470
Generated 620000  programs,  absolute time: 0:19:24.534628,  relative time: 0:00:00.000473
Generated 620000  programs,  absolute time: 0:19:24.535091,  relative time: 0:00:00.000463
Generated 620000  programs,  absolute time: 0:19:24.535571,  relative time: 0:00:00.000480
Generated 620000  programs,  absolute time: 0:19:24.536052,  relative time: 0:00:00.000481
Generated 630000  programs,  absolute time: 0:19:42.527807,  relative time: 0:00:17.991755
Generated 640000  programs,  absolute time: 0:20:00.536752,  relative time: 0:00:18.008945
Generated 640000  programs,  absolute time: 0:20:00.537250,  relative time: 0:00:00.000498
Generated 650000  programs,  absolute time: 0:20:18.815375,  relative time: 0:00:18.278125
Generated 660000  programs,  absolute time: 0:20:36.988187,  relative time: 0:00:18.172812
Generated 660000  programs,  absolute time: 0:20:36.988673,  relative time: 0:00:00.000486
Generated 660000  programs,  absolute time: 0:20:36.989138,  relative time: 0:00:00.000465
Generated 670000  programs,  absolute time: 0:20:55.136045,  relative time: 0:00:18.146907
Generated 670000  programs,  absolute time: 0:20:55.136519,  relative time: 0:00:00.000474
Generated 670000  programs,  absolute time: 0:20:55.137075,  relative time: 0:00:00.000556
Generated 670000  programs,  absolute time: 0:20:55.137532,  relative time: 0:00:00.000457
Generated 670000  programs,  absolute time: 0:20:55.137989,  relative time: 0:00:00.000457
Generated 670000  programs,  absolute time: 0:20:55.138478,  relative time: 0:00:00.000489
Generated 680000  programs,  absolute time: 0:21:13.655956,  relative time: 0:00:18.517478
Generated 680000  programs,  absolute time: 0:21:13.656437,  relative time: 0:00:00.000481
Generated 690000  programs,  absolute time: 0:21:32.074086,  relative time: 0:00:18.417649
Generated 690000  programs,  absolute time: 0:21:32.074559,  relative time: 0:00:00.000473
Generated 690000  programs,  absolute time: 0:21:32.075027,  relative time: 0:00:00.000468
Generated 700000  programs,  absolute time: 0:21:50.099006,  relative time: 0:00:18.023979
Generated 700000  programs,  absolute time: 0:21:50.099454,  relative time: 0:00:00.000448
Generated 700000  programs,  absolute time: 0:21:50.099955,  relative time: 0:00:00.000501
Generated 700000  programs,  absolute time: 0:21:50.100396,  relative time: 0:00:00.000441
Generated 700000  programs,  absolute time: 0:21:50.100887,  relative time: 0:00:00.000491
Generated 700000  programs,  absolute time: 0:21:50.101320,  relative time: 0:00:00.000433
Generated 710000  programs,  absolute time: 0:22:08.243477,  relative time: 0:00:18.142157
Generated 720000  programs,  absolute time: 0:22:26.286896,  relative time: 0:00:18.043419
Generated 720000  programs,  absolute time: 0:22:26.287371,  relative time: 0:00:00.000475
Generated 720000  programs,  absolute time: 0:22:26.287825,  relative time: 0:00:00.000454
Generated 720000  programs,  absolute time: 0:22:26.288296,  relative time: 0:00:00.000471
Generated 720000  programs,  absolute time: 0:22:26.288767,  relative time: 0:00:00.000471
Generated 720000  programs,  absolute time: 0:22:26.289208,  relative time: 0:00:00.000441
Generated 720000  programs,  absolute time: 0:22:26.289679,  relative time: 0:00:00.000471
Generated 730000  programs,  absolute time: 0:22:44.916518,  relative time: 0:00:18.626839
Generated 730000  programs,  absolute time: 0:22:44.917027,  relative time: 0:00:00.000509
Generated 730000  programs,  absolute time: 0:22:44.917479,  relative time: 0:00:00.000452
Generated 730000  programs,  absolute time: 0:22:44.917952,  relative time: 0:00:00.000473
Generated 740000  programs,  absolute time: 0:23:03.125069,  relative time: 0:00:18.207117
Generated 740000  programs,  absolute time: 0:23:03.125563,  relative time: 0:00:00.000494
